"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"178","Rhodococcus sp.",0.00103572807017544,1.8e-05,0.020806,0.00167660033982999,0.0006095,2.81098869951803e-06,456,0.00271232841000543
"179","Rhodopirellula sp.",0.0051164989059081,0.000119,0.015984,0.00306457415269873,0.004485,9.39161473738915e-06,457,0.00818107305860683
"180","Rhodoplanes sp.",0.014685590809628,0.000662,0.079946,0.00939298999820178,0.011775,8.82282611063187e-05,457,0.0240785808078298
"181","Roseiflexus sp.",0.00570873903508772,5.6e-05,0.041133,0.00510362303801576,0.004286,2.60469681141652e-05,456,0.0108123620731035
"182","Roseomonas sp.",0.00102922737306843,7e-06,0.005823,0.000848293867594085,0.000808,7.19602485797731e-07,453,0.00187752124066252
"183","Rubellimicrobium sp.",0.00193233707865169,6e-06,0.024643,0.00241199133620788,0.001169,5.8177022059419e-06,445,0.00434432841485957
"184","Rubrobacter sp.",0.0122962035010941,0.000548,0.10088,0.0136208980556448,0.00844,0.000185528863842269,457,0.0259171015567389
"185","Ruminococcus sp.",0.00175825820568928,9.2e-05,0.010653,0.00128511761999387,0.001488,1.6515272972187e-06,457,0.00304337582568315
"186","Sandaracinus sp.",0.00514965864332604,0.000126,0.019917,0.00380801048597431,0.00385,1.45009438612903e-05,457,0.00895766912930034
"187","Sediminibacterium sp.",0.00104876169265033,1.3e-05,0.006391,0.00104555022627903,0.000758,1.09317527567213e-06,449,0.00209431191892936
"188","Segetibacter sp.",0.00305096916299559,1.6e-05,0.031021,0.00365937065107661,0.002114,1.33909935619609e-05,454,0.00671033981407221
"189","Shimazuella sp.",0.000537118834080718,1e-05,0.00433,0.00056138490211141,0.0003845,3.15153008318638e-07,446,0.00109850373619213
"190","Singulisphaera sp.",0.00526433260393873,0.000334,0.022242,0.00348643679116389,0.004232,1.21552414987811e-05,457,0.00875076939510262
"191","Skermanella sp.",0.012741295404814,0.000705,0.053525,0.0104358661697524,0.008702,0.000108907302712983,457,0.0231771615745664
"192","Smithella sp.",0.0018456798245614,2.1e-05,0.010863,0.00170084998224345,0.001311,2.89289066209755e-06,456,0.00354652980680486
