"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"A16A02",0.00114290285714286,7e-06,0.22642,0.00915901692077723,8.38875909550837e-05,875,5.5e-05
"A16A03",0.00117639647058824,9e-06,0.161058,0.00730558910404311,5.33716321571134e-05,850,6.3e-05
"A16A04",0.00127501020408163,2e-05,0.10415,0.00503295481816434,2.53306342016837e-05,784,0.00012
"A17A00",0.00105157518401682,5e-06,0.12309,0.00544898283413609,2.96914139267098e-05,951,5.5e-05
"A17A01",0.00113371882086168,1.3e-05,0.155076,0.00627059307427464,3.93203375031411e-05,882,7.8e-05
"A17A02",0.00109415973741794,7e-06,0.150992,0.00618095903197551,3.82042545549597e-05,914,6.1e-05
"A17A03",0.00129027612903226,8e-06,0.088964,0.00518972233663865,2.69332179314062e-05,775,8.4e-05
"A17A04",0.00135503116531165,9e-06,0.159256,0.00757678250651258,5.74076331509951e-05,738,7e-05
"A17A05",0.00116406984866123,1e-05,0.084212,0.00443214344449703,1.9643895512598e-05,859,1e-04
"A17A06",0.00133869076305221,4e-06,0.113672,0.00539167268503774,2.90701343425821e-05,747,0.000148
"A17A07",0.00114281485714286,7e-06,0.184004,0.00715352920277312,5.11729800549279e-05,875,7.8e-05
"A17A08",0.00122697300613497,4e-06,0.123476,0.00556431382766418,3.09615883727348e-05,815,0.000118
"A17A09",0.00127393375796178,7e-06,0.091287,0.00512926920498809,2.63094025772391e-05,785,0.000115
"A17A0A",0.00105600844772967,7e-06,0.241174,0.00854524620128176,7.30212326405204e-05,947,5.3e-05
"A17A0B",0.000963456647398844,6e-06,0.177856,0.00623371109941139,3.88591540709247e-05,1038,6e-05
"A17A0C",0.00126735234474018,8e-06,0.080625,0.00557904277400459,3.11257182741729e-05,789,7.3e-05
"A17A0D",0.00117376056338028,8e-06,0.095939,0.00501761491544189,2.51764594396649e-05,852,8.3e-05
"A17A0E",0.00112860158013544,5e-06,0.199075,0.00766892028113281,5.88123382783702e-05,886,5.5e-05
"A17A0F",0.00111350334075724,8e-06,0.155868,0.00634996378754324,4.03220401031104e-05,898,7.6e-05
"A17A0G",0.00128858505154639,7e-06,0.220149,0.00895102821748296,8.01209061501763e-05,776,6.5e-05
"A17A0H",0.00198010693069307,6.1e-05,0.102971,0.00646297320029642,4.17700225877497e-05,505,0.000304
"A17A0I",0.00110871951219512,7e-06,0.191623,0.00734120428915685,5.3893280415135e-05,902,6.8e-05
"A17A0J",0.000969869059165858,6e-06,0.12935,0.00496818730234553,2.46828850711873e-05,1031,6.5e-05
"A17A0K",0.00109762788144896,1.1e-05,0.175045,0.00667616985187212,4.45712438910462e-05,911,6.6e-05
"A17A0L",0.00124232670807453,1.1e-05,0.141661,0.00611363256059074,3.73765030859153e-05,805,8.7e-05
"A17A0M",0.00122254767726161,1e-05,0.114987,0.0054661886090958,2.98792179102087e-05,818,8.9e-05
"A17A0N",0.00109517853231106,9e-06,0.107931,0.00480219876128341,2.30611129428719e-05,913,8.5e-05
"A17A1F",0.00173301386481802,4.1e-05,0.23376,0.0104092600671537,0.000108352695145641,577,0.000207
"A17A1H",0.00210962447257384,4.3e-05,0.376878,0.0177294797703838,0.00031433445292845,474,0.000173
